Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Alberta,Calgary East,Calgary-Est,Nathan David Coates,Nathan David Coates,Green Party of Canada,3403,
Alberta,Calgary East,Calgary-Est,Jason Devine,Jason Devine,Communist Party of Canada,323,
Alberta,Calgary East,Calgary-Est,Bernie Kennedy,Bernie Kennedy,Liberal Party of Canada,3255,
Alberta,Calgary East,Calgary-Est,Deepak Obhrai,Deepak Obhrai,Conservative Party of Canada,21311,
Alberta,Calgary East,Calgary-Est,Ian Vaughan,Ian Vaughan,New Democratic Party,3768,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Peggy Askin,Peggy Askin,Marxist-Leninist Party of Canada,184,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,John Chan,John Chan,New Democratic Party,7413,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Eric Donovan,Eric Donovan,Green Party of Canada,7392,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Doug James,Doug James,Liberal Party of Canada,5699,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Jason E. McNeil,Jason E. McNeil,Libertarian Party of Canada,345,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Jim Prentice,Jim Prentice,Conservative Party of Canada,27361,
Alberta,Calgary Northeast,Calgary-Nord-Est,Abeed Monty Ahmad,Abeed Monty Ahmad,Green Party of Canada,2045,
Alberta,Calgary Northeast,Calgary-Nord-Est,Daniel Blanchard,Daniel Blanchard,Marxist-Leninist Party of Canada,211,
Alberta,Calgary Northeast,Calgary-Nord-Est,Vinay Dey,Vinay Dey,New Democratic Party,3279,
Alberta,Calgary Northeast,Calgary-Nord-Est,Sanam S. Kang,Sanam S. Kang,Liberal Party of Canada,7433,
Alberta,Calgary Northeast,Calgary-Nord-Est,Roger Richard,Roger Richard,No Affiliation,4836,
Alberta,Calgary Northeast,Calgary-Nord-Est,Devinder Shory,Devinder Shory,Conservative Party of Canada,18917,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Diane Ablonczy,Diane Ablonczy,Conservative Party of Canada,35029,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Tony Hajj,Tony Hajj,Green Party of Canada,4685,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Anoush Newman,Anoush Newman,Liberal Party of Canada,6657,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Stephanie Sundberg,Stephanie Sundberg,New Democratic Party,3941,
Alberta,Calgary Centre,Calgary-Centre,Antony Tony Grochowski,Antony Tony Grochowski,Independent,420,
Alberta,Calgary Centre,Calgary-Centre,Heesung Kim,Heesung Kim,Liberal Party of Canada,8402,
Alberta,Calgary Centre,Calgary-Centre,Tyler Kinch,Tyler Kinch,New Democratic Party,4229,
Alberta,Calgary Centre,Calgary-Centre,Natalie Odd,Natalie Odd,Green Party of Canada,7778,
Alberta,Calgary Centre,Calgary-Centre,Lee Richardson,Lee Richardson,Conservative Party of Canada,26085,
Alberta,Calgary Southeast,Calgary-Sud-Est,Brad Carroll,Brad Carroll,Liberal Party of Canada,4878,
Alberta,Calgary Southeast,Calgary-Sud-Est,Margaret Chandler,Margaret Chandler,Green Party of Canada,5736,
Alberta,Calgary Southeast,Calgary-Sud-Est,Jason Kenney,Jason Kenney,Conservative Party of Canada,41425,
Alberta,Calgary Southeast,Calgary-Sud-Est,Chris Willott,Chris Willott,New Democratic Party,4024,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Kelly Christie,Kelly Christie,Green Party of Canada,4743,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Stephen Harper,Stephen Harper,Conservative Party of Canada,38548,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Larry R. Heather,Larry R. Heather,Christian Heritage Party of Canada,256,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Holly Heffernan,Holly Heffernan,New Democratic Party,4102,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Marlene Lamontagne,Marlene Lamontagne,Liberal Party of Canada,4918,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Dennis Young,Dennis Young,Libertarian Party of Canada,265,
Alberta,Calgary West,Calgary-Ouest,Rob Anders,Rob Anders,Conservative Party of Canada,34579,
Alberta,Calgary West,Calgary-Ouest,Teale Phelps Bondaroff,Teale Phelps Bondaroff,New Democratic Party,3832,
Alberta,Calgary West,Calgary-Ouest,Jennifer Pollock,Jennifer Pollock,Liberal Party of Canada,13204,
Alberta,Calgary West,Calgary-Ouest,Kirk Schmidt,Kirk Schmidt,Independent,1790,
Alberta,Calgary West,Calgary-Ouest,André Vachon,André Vachon,Marxist-Leninist Party of Canada,155,
Alberta,Calgary West,Calgary-Ouest,Randy Weeks,Randy Weeks,Green Party of Canada,6722,
Alberta,Crowfoot,Crowfoot,Sharon L. Howe,Sharon L. Howe,Liberal Party of Canada,1958,
Alberta,Crowfoot,Crowfoot,Kaitlin Kettenbach,Kaitlin Kettenbach,Green Party of Canada,2875,
Alberta,Crowfoot,Crowfoot,Ellen Parker,Ellen Parker,New Democratic Party,3783,
Alberta,Crowfoot,Crowfoot,Kevin Sorenson,Kevin Sorenson,Conservative Party of Canada,39342,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Mike Butler,Mike Butler,New Democratic Party,6297,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,David Allan Hrushka,David Allan Hrushka,Green Party of Canada,2366,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Mike Lake,Mike Lake,Conservative Party of Canada,25130,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Naomi Rankin,Naomi Rankin,Communist Party of Canada,157,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Indira Saroya,Indira Saroya,Liberal Party of Canada,7709,
Alberta,Edmonton Centre,Edmonton-Centre,Laurie Hawn,Laurie Hawn,Conservative Party of Canada,22634,
Alberta,Edmonton Centre,Edmonton-Centre,Donna Martyn,Donna Martyn,New Democratic Party,6912,
Alberta,Edmonton Centre,Edmonton-Centre,Peggy Morton,Peggy Morton,Marxist-Leninist Party of Canada,203,
Alberta,Edmonton Centre,Edmonton-Centre,David James Parker,David James Parker,Green Party of Canada,3746,
Alberta,Edmonton Centre,Edmonton-Centre,Jim Wachowich,Jim Wachowich,Liberal Party of Canada,12661,
Alberta,Edmonton East,Edmonton-Est,Trey Capnerhurst,Trey Capnerhurst,Green Party of Canada,2488,
Alberta,Edmonton East,Edmonton-Est,Peter Goldring,Peter Goldring,Conservative Party of Canada,21487,
Alberta,Edmonton East,Edmonton-Est,Stephanie Laskoski,Stephanie Laskoski,Liberal Party of Canada,4578,
Alberta,Edmonton East,Edmonton-Est,Ray Martin,Ray Martin,New Democratic Party,13318,
Alberta,Edmonton--Leduc,Edmonton--Leduc,Valerie Kennedy,Valerie Kennedy,Green Party of Canada,4081,
Alberta,Edmonton--Leduc,Edmonton--Leduc,James Rajotte,James Rajotte,Conservative Party of Canada,33174,
Alberta,Edmonton--Leduc,Edmonton--Leduc,Hana Razga,Hana Razga,New Democratic Party,5994,
Alberta,Edmonton--Leduc,Edmonton--Leduc,Donna Lynn Smith,Donna Lynn Smith,Liberal Party of Canada,9234,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Dave Burkhart,Dave Burkhart,New Democratic Party,8045,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Peter Johnston,Peter Johnston,Green Party of Canada,4072,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Brent Rathgeber,Brent Rathgeber,Conservative Party of Canada,31436,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Sam Sleiman,Sam Sleiman,Liberal Party of Canada,7441,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Nina Erfani,Nina Erfani,Green Party of Canada,3678,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,James Ford,James Ford,Independent,15960,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Brian LaBelle,Brian LaBelle,New Democratic Party,6339,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Rick Szostak,Rick Szostak,Liberal Party of Canada,5575,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Tim Uppal,Tim Uppal,Conservative Party of Canada,17628,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Rona Ambrose,Rona Ambrose,Conservative Party of Canada,36402,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Chris Austin,Chris Austin,Liberal Party of Canada,6099,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Barb Phillips,Barb Phillips,New Democratic Party,6627,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Wendy Walker,Wendy Walker,Green Party of Canada,3975,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Linda Duncan,Linda Duncan,New Democratic Party,20103,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Kevan Hunter,Kevan Hunter,Marxist-Leninist Party of Canada,147,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Rahim Jaffer,Rahim Jaffer,Conservative Party of Canada,19640,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Claudette Roy,Claudette Roy,Liberal Party of Canada,4279,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Jane Thrall,Jane Thrall,Green Party of Canada,3040,
Alberta,Lethbridge,Lethbridge,Geoffrey Capp,Geoffrey Capp,Christian Heritage Party of Canada,1094,
Alberta,Lethbridge,Lethbridge,Rick Casson,Rick Casson,Conservative Party of Canada,31714,
Alberta,Lethbridge,Lethbridge,Michael Joseph Cormican,Michael Joseph Cormican,Liberal Party of Canada,4404,
Alberta,Lethbridge,Lethbridge,Mark Sandilands,Mark Sandilands,New Democratic Party,6733,
Alberta,Lethbridge,Lethbridge,Amanda Swagar,Amanda Swagar,Green Party of Canada,3420,
Alberta,Macleod,Macleod,Stan Knowlton,Stan Knowlton,New Democratic Party,3053,
Alberta,Macleod,Macleod,Jared McCollum,Jared McCollum,Green Party of Canada,4161,
Alberta,Macleod,Macleod,Ted Menzies,Ted Menzies,Conservative Party of Canada,35328,
Alberta,Macleod,Macleod,Isabel Paynter,Isabel Paynter,Liberal Party of Canada,2703,
Alberta,Macleod,Macleod,Marc Slingerland,Marc Slingerland,Christian Heritage Party of Canada,422,
Alberta,Medicine Hat,Medicine Hat,Bev Botter,Bev Botter,Liberal Party of Canada,2639,
Alberta,Medicine Hat,Medicine Hat,Kevin Dodd,Kevin Dodd,Green Party of Canada,2338,
Alberta,Medicine Hat,Medicine Hat,David S. Patrick,David S. Patrick,Independent,580,
Alberta,Medicine Hat,Medicine Hat,LaVar Payne,LaVar Payne,Conservative Party of Canada,26950,
Alberta,Medicine Hat,Medicine Hat,Wally Regehr,Wally Regehr,New Democratic Party,4187,
Alberta,Medicine Hat,Medicine Hat,Dean Shock,Dean Shock,Independent,971,
Alberta,Medicine Hat,Medicine Hat,Frans Vandestroet,Frans Vandestroet,Christian Heritage Party of Canada,363,
Alberta,Peace River,Peace River,Adele Boucher Rymhs,Adele Boucher Rymhs,New Democratic Party,6124,
Alberta,Peace River,Peace River,Liliane Maisonneuve,Liliane Maisonneuve,Liberal Party of Canada,2843,
Alberta,Peace River,Peace River,Edwin Siggelkow,Edwin Siggelkow,Canadian Action Party,373,
Alberta,Peace River,Peace River,Mélanie Simard,Mélanie Simard,Libertarian Party of Canada,316,
Alberta,Peace River,Peace River,Jennifer Villebrun,Jennifer Villebrun,Green Party of Canada,3303,
Alberta,Peace River,Peace River,Chris Warkentin,Chris Warkentin,Conservative Party of Canada,29550,
Alberta,Red Deer,Red Deer,Evan Bedford,Evan Bedford,Green Party of Canada,4239,
Alberta,Red Deer,Red Deer,Earl Dreeshen,Earl Dreeshen,Conservative Party of Canada,33226,
Alberta,Red Deer,Red Deer,Garfield Marks,Garfield Marks,Liberal Party of Canada,2863,
Alberta,Red Deer,Red Deer,Stuart Somerville,Stuart Somerville,New Democratic Party,5040,
Alberta,Vegreville--Wainwright,Vegreville--Wainwright,Leon Benoit,Leon Benoit,Conservative Party of Canada,34493,
Alberta,Vegreville--Wainwright,Vegreville--Wainwright,Adam Campbell,Adam Campbell,Liberal Party of Canada,2345,
Alberta,Vegreville--Wainwright,Vegreville--Wainwright,William Munsey,William Munsey,Green Party of Canada,3676,
Alberta,Vegreville--Wainwright,Vegreville--Wainwright,Ray Stone,Ray Stone,New Democratic Party,4230,
Alberta,Westlock--St. Paul,Westlock--St. Paul,Della Drury,Della Drury,New Democratic Party,3809,
Alberta,Westlock--St. Paul,Westlock--St. Paul,Sip Hofstede,Sip Hofstede,Christian Heritage Party of Canada,510,
Alberta,Westlock--St. Paul,Westlock--St. Paul,Leila Houle,Leila Houle,Liberal Party of Canada,3418,
Alberta,Westlock--St. Paul,Westlock--St. Paul,Aden Murphy,Aden Murphy,Green Party of Canada,2522,
Alberta,Westlock--St. Paul,Westlock--St. Paul,Brian Storseth,Brian Storseth,Conservative Party of Canada,27338,
Alberta,Wetaskiwin,Wetaskiwin,Blaine Calkins,Blaine Calkins,Conservative Party of Canada,32528,
Alberta,Wetaskiwin,Wetaskiwin,Rita Katherine Dillon,Rita Katherine Dillon,Liberal Party of Canada,2362,
Alberta,Wetaskiwin,Wetaskiwin,Shawn Mann,Shawn Mann,Canadian Action Party,249,
Alberta,Wetaskiwin,Wetaskiwin,Les Parsons,Les Parsons,Green Party of Canada,3395,
Alberta,Wetaskiwin,Wetaskiwin,Tim Robson,Tim Robson,New Democratic Party,3636,
Alberta,Wild Rose,Wild Rose,Lisa Fox,Lisa Fox,Green Party of Canada,6390,
Alberta,Wild Rose,Wild Rose,Jeff Horvath,Jeff Horvath,New Democratic Party,4169,
Alberta,Wild Rose,Wild Rose,Blake Richards,Blake Richards,Conservative Party of Canada,36869,
Alberta,Wild Rose,Wild Rose,Jenn Turcott,Jenn Turcott,Liberal Party of Canada,2890,
Alberta,Wild Rose,Wild Rose,Krista Zoobkoff,Krista Zoobkoff,Libertarian Party of Canada,246,
Alberta,Yellowhead,Yellowhead,Melissa Brade,Melissa Brade,Canadian Action Party,408,
Alberta,Yellowhead,Yellowhead,Mohamed El-Rafih,Mohamed El-Rafih,Liberal Party of Canada,1489,
Alberta,Yellowhead,Yellowhead,Ken Kuzminski,Ken Kuzminski,New Democratic Party,4587,
Alberta,Yellowhead,Yellowhead,Rob Merrifield,Rob Merrifield,Conservative Party of Canada,26863,
Alberta,Yellowhead,Yellowhead,Monika Schaefer,Monika Schaefer,Green Party of Canada,3437,
Alberta,Yellowhead,Yellowhead,John M. Wierenga,John M. Wierenga,Christian Heritage Party of Canada,606,
British Columbia,Abbotsford,Abbotsford,Karen Durant,Karen Durant,Green Party of Canada,3141,
British Columbia,Abbotsford,Abbotsford,Ed Fast,Ed Fast,Conservative Party of Canada,30853,
British Columbia,Abbotsford,Abbotsford,Tim Felger,Tim Felger,Marijuana Party,358,
British Columbia,Abbotsford,Abbotsford,Bonnie Rai,Bonnie Rai,New Democratic Party,6444,
British Columbia,Abbotsford,Abbotsford,Lionel Dominique Traverse,Lionel Dominique Traverse,Liberal Party of Canada,7933,
British Columbia,Burnaby--Douglas,Burnaby--Douglas,Bill Cunningham,Bill Cunningham,Liberal Party of Canada,9177,
British Columbia,Burnaby--Douglas,Burnaby--Douglas,George Gidora,George Gidora,Communist Party of Canada,203,
British Columbia,Burnaby--Douglas,Burnaby--Douglas,Ronald Leung,Ronald Leung,Conservative Party of Canada,17139,
British Columbia,Burnaby--Douglas,Burnaby--Douglas,Doug Perry,Doug Perry,Green Party of Canada,2822,
British Columbia,Burnaby--Douglas,Burnaby--Douglas,Bill Siksay,Bill Siksay,New Democratic Party,17937,
British Columbia,Burnaby--New Westminster,Burnaby--New Westminster,Peter Julian,Peter Julian,New Democratic Party,20145,
British Columbia,Burnaby--New Westminster,Burnaby--New Westminster,Gerry Lenoski,Gerry Lenoski,Liberal Party of Canada,6681,
British Columbia,Burnaby--New Westminster,Burnaby--New Westminster,Carrie McLaren,Carrie McLaren,Green Party of Canada,3067,
British Columbia,Burnaby--New Westminster,Burnaby--New Westminster,Sam Rakhra,Sam Rakhra,Conservative Party of Canada,13150,
British Columbia,Burnaby--New Westminster,Burnaby--New Westminster,Joseph Theriault,Joseph Theriault,Marxist-Leninist Party of Canada,96,
British Columbia,Burnaby--New Westminster,Burnaby--New Westminster,Ismet Yetisen,Ismet Yetisen,Libertarian Party of Canada,186,
British Columbia,Cariboo--Prince George,Cariboo--Prince George,Drew Adamick,Drew Adamick,Liberal Party of Canada,4309,
British Columbia,Cariboo--Prince George,Cariboo--Prince George,Bev Collins,Bev Collins,New Democratic Party,10581,
British Columbia,Cariboo--Prince George,Cariboo--Prince George,Douglas Gook,Douglas Gook,Independent,729,
British Columbia,Cariboo--Prince George,Cariboo--Prince George,Dick Harris,Dick Harris,Conservative Party of Canada,22637,
British Columbia,Cariboo--Prince George,Cariboo--Prince George,Amber Van Drielen,Amber Van Drielen,Green Party of Canada,2614,
British Columbia,Chilliwack--Fraser Canyon,Chilliwack--Fraser Canyon,Helen Kormendy,Helen Kormendy,New Democratic Party,8791,
British Columbia,Chilliwack--Fraser Canyon,Chilliwack--Fraser Canyon,Barbara Lebeau,Barbara Lebeau,Green Party of Canada,4107,
British Columbia,Chilliwack--Fraser Canyon,Chilliwack--Fraser Canyon,Harold J. Ludwig,Harold J. Ludwig,Christian Heritage Party of Canada,653,
British Columbia,Chilliwack--Fraser Canyon,Chilliwack--Fraser Canyon,Dorothy-Jean O'Donnell,Dorothy-Jean O'Donnell,Marxist-Leninist Party of Canada,113,
British Columbia,Chilliwack--Fraser Canyon,Chilliwack--Fraser Canyon,Chuck Strahl,Chuck Strahl,Conservative Party of Canada,29198,
British Columbia,Chilliwack--Fraser Canyon,Chilliwack--Fraser Canyon,Myra Sweeney,Myra Sweeney,Liberal Party of Canada,3990,
British Columbia,Delta--Richmond East,Delta--Richmond-Est,Szilvia Barna,Szilvia Barna,New Democratic Party,6803,
British Columbia,Delta--Richmond East,Delta--Richmond-Est,John Cummins,John Cummins,Conservative Party of Canada,26252,
British Columbia,Delta--Richmond East,Delta--Richmond-Est,Matthew Laine,Matthew Laine,Green Party of Canada,3663,
British Columbia,Delta--Richmond East,Delta--Richmond-Est,Dana L. Miller,Dana L. Miller,Liberal Party of Canada,10371,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Mike Bocking,Mike Bocking,New Democratic Party,16894,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Mike Gildersleeve,Mike Gildersleeve,Green Party of Canada,3833,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Randy Kamp,Randy Kamp,Conservative Party of Canada,26512,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Jeff Monds,Jeff Monds,Libertarian Party of Canada,300,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Evans Nicholson,Evans Nicholson,Independent,137,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Dan Olson,Dan Olson,Liberal Party of Canada,3394,
British Columbia,Pitt Meadows--Maple Ridge--Mission,Pitt Meadows--Maple Ridge--Mission,Chum Richardson,Chum Richardson,Independent,101,
British Columbia,Esquimalt--Juan de Fuca,Esquimalt--Juan de Fuca,Jennifer Burgis,Jennifer Burgis,New Democratic Party,13322,
British Columbia,Esquimalt--Juan de Fuca,Esquimalt--Juan de Fuca,Troy DeSouza,Troy DeSouza,Conservative Party of Canada,19974,
British Columbia,Esquimalt--Juan de Fuca,Esquimalt--Juan de Fuca,Brian G. Gordon,Brian G. Gordon,Green Party of Canada,4854,
British Columbia,Esquimalt--Juan de Fuca,Esquimalt--Juan de Fuca,Keith Martin,Keith Martin,Liberal Party of Canada,20042,
British Columbia,Esquimalt--Juan de Fuca,Esquimalt--Juan de Fuca,Philip G. Ney,Philip G. Ney,Independent,309,
British Columbia,Esquimalt--Juan de Fuca,Esquimalt--Juan de Fuca,Brad Rhodes,Brad Rhodes,Canadian Action Party,130,
British Columbia,Fleetwood--Port Kells,Fleetwood--Port Kells,Nao Fernando,Nao Fernando,New Democratic Party,10916,
British Columbia,Fleetwood--Port Kells,Fleetwood--Port Kells,Nina Grewal,Nina Grewal,Conservative Party of Canada,21389,
British Columbia,Fleetwood--Port Kells,Fleetwood--Port Kells,Brenda Locke,Brenda Locke,Liberal Party of Canada,12502,
British Columbia,Fleetwood--Port Kells,Fleetwood--Port Kells,Brian Newbold,Brian Newbold,Green Party of Canada,3045,
British Columbia,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,Donovan Grube Cavers,Donovan Grube Cavers,Green Party of Canada,4430,
British Columbia,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,Michael Crawford,Michael Crawford,New Democratic Party,19601,
British Columbia,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,Cathy McLeod,Cathy McLeod,Conservative Party of Canada,25209,
British Columbia,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,Ken Sommerfeld,Ken Sommerfeld,Liberal Party of Canada,5375,
British Columbia,Kelowna--Lake Country,Kelowna--Lake Country,Diana Cabott,Diana Cabott,Liberal Party of Canada,8469,
British Columbia,Kelowna--Lake Country,Kelowna--Lake Country,Ron Cannan,Ron Cannan,Conservative Party of Canada,31907,
British Columbia,Kelowna--Lake Country,Kelowna--Lake Country,Mark Haley,Mark Haley,Communist Party of Canada,218,
British Columbia,Kelowna--Lake Country,Kelowna--Lake Country,Tish Lakes,Tish Lakes,New Democratic Party,8624,
British Columbia,Kelowna--Lake Country,Kelowna--Lake Country,Angela Reid,Angela Reid,Green Party of Canada,7821,
British Columbia,Kootenay--Columbia,Kootenay--Columbia,Jim Abbott,Jim Abbott,Conservative Party of Canada,23402,
British Columbia,Kootenay--Columbia,Kootenay--Columbia,Betty Aitchison,Betty Aitchison,Liberal Party of Canada,3044,
British Columbia,Kootenay--Columbia,Kootenay--Columbia,Ralph Moore,Ralph Moore,Green Party of Canada,3933,
British Columbia,Kootenay--Columbia,Kootenay--Columbia,Leon R. Pendleton,Leon R. Pendleton,New Democratic Party,8892,
British Columbia,Langley,Langley,Andrew Claxton,Andrew Claxton,New Democratic Party,8898,
British Columbia,Langley,Langley,Jake Gray,Jake Gray,Liberal Party of Canada,5888,
British Columbia,Langley,Langley,Ron Gray,Ron Gray,Christian Heritage Party of Canada,594,
British Columbia,Langley,Langley,Patrick Meyer,Patrick Meyer,Green Party of Canada,5059,
British Columbia,Langley,Langley,Mark Warawa,Mark Warawa,Conservative Party of Canada,32594,
British Columbia,Nanaimo--Alberni,Nanaimo--Alberni,Barbara Biley,Barbara Biley,Marxist-Leninist Party of Canada,155,
British Columbia,Nanaimo--Alberni,Nanaimo--Alberni,John Fryer,John Fryer,Green Party of Canada,7457,
British Columbia,Nanaimo--Alberni,Nanaimo--Alberni,James Lunney,James Lunney,Conservative Party of Canada,28930,
British Columbia,Nanaimo--Alberni,Nanaimo--Alberni,Zeni Maartman,Zeni Maartman,New Democratic Party,19680,
British Columbia,Nanaimo--Alberni,Nanaimo--Alberni,Richard Pesik,Richard Pesik,Liberal Party of Canada,5578,
British Columbia,Nanaimo--Alberni,Nanaimo--Alberni,Frank Wagner,Frank Wagner,Christian Heritage Party of Canada,176,
British Columbia,Nanaimo--Cowichan,Nanaimo--Cowichan,Jean Crowder,Jean Crowder,New Democratic Party,27454,
British Columbia,Nanaimo--Cowichan,Nanaimo--Cowichan,Jack East,Jack East,Marxist-Leninist Party of Canada,182,
British Columbia,Nanaimo--Cowichan,Nanaimo--Cowichan,Reed Elley,Reed Elley,Conservative Party of Canada,22844,
British Columbia,Nanaimo--Cowichan,Nanaimo--Cowichan,Christina Knighton,Christina Knighton,Green Party of Canada,5816,
British Columbia,Nanaimo--Cowichan,Nanaimo--Cowichan,Brian Scott,Brian Scott,Liberal Party of Canada,4483,
British Columbia,Newton--North Delta,Newton--Delta-Nord,Harjit Daudharia,Harjit Daudharia,Communist Party of Canada,121,
British Columbia,Newton--North Delta,Newton--Delta-Nord,Sukh Dhaliwal,Sukh Dhaliwal,Liberal Party of Canada,16481,
British Columbia,Newton--North Delta,Newton--Delta-Nord,James William Miller-Cousineau,James William Miller-Cousineau,Independent,179,
British Columbia,Newton--North Delta,Newton--Delta-Nord,Sandeep Pandher,Sandeep Pandher,Conservative Party of Canada,13988,
British Columbia,Newton--North Delta,Newton--Delta-Nord,John Shavluk,John Shavluk,Independent,126,
British Columbia,Newton--North Delta,Newton--Delta-Nord,Teresa Townsley,Teresa Townsley,New Democratic Party,11824,
British Columbia,Newton--North Delta,Newton--Delta-Nord,Liz Walker,Liz Walker,Green Party of Canada,2533,
British Columbia,New Westminster--Coquitlam,New Westminster--Coquitlam,Dawn Black,Dawn Black,New Democratic Party,20787,
British Columbia,New Westminster--Coquitlam,New Westminster--Coquitlam,Lewis C. Dahlby,Lewis C. Dahlby,Libertarian Party of Canada,314,
British Columbia,New Westminster--Coquitlam,New Westminster--Coquitlam,Michelle Hassen,Michelle Hassen,Liberal Party of Canada,5615,
British Columbia,New Westminster--Coquitlam,New Westminster--Coquitlam,Yonah Martin,Yonah Martin,Conservative Party of Canada,19299,
British Columbia,New Westminster--Coquitlam,New Westminster--Coquitlam,Marshall Smith,Marshall Smith,Green Party of Canada,3574,
British Columbia,New Westminster--Coquitlam,New Westminster--Coquitlam,Roland Verrier,Roland Verrier,Marxist-Leninist Party of Canada,103,
British Columbia,Okanagan--Shuswap,Okanagan--Shuswap,Huguette Allen,Huguette Allen,Green Party of Canada,9368,
British Columbia,Okanagan--Shuswap,Okanagan--Shuswap,Alice Brown,Alice Brown,New Democratic Party,10664,
British Columbia,Okanagan--Shuswap,Okanagan--Shuswap,Gordie Campbell,Gordie Campbell,No Affiliation,416,
British Columbia,Okanagan--Shuswap,Okanagan--Shuswap,Janna Francis,Janna Francis,Liberal Party of Canada,5414,
British Columbia,Okanagan--Shuswap,Okanagan--Shuswap,Colin Mayes,Colin Mayes,Conservative Party of Canada,28002,
British Columbia,Okanagan--Shuswap,Okanagan--Shuswap,Darren Seymour,Darren Seymour,Canadian Action Party,278,
British Columbia,North Vancouver,North Vancouver,Tunya Audain,Tunya Audain,Libertarian Party of Canada,166,
British Columbia,North Vancouver,North Vancouver,Don Bell,Don Bell,Liberal Party of Canada,21551,
British Columbia,North Vancouver,North Vancouver,Michael Charrois,Michael Charrois,New Democratic Party,5417,
British Columbia,North Vancouver,North Vancouver,Andrew Saxton,Andrew Saxton,Conservative Party of Canada,24371,
British Columbia,North Vancouver,North Vancouver,Jim Stephenson,Jim Stephenson,Green Party of Canada,6168,
British Columbia,Okanagan--Coquihalla,Okanagan--Coquihalla,Dan Bouchard,Dan Bouchard,Green Party of Canada,6603,
British Columbia,Okanagan--Coquihalla,Okanagan--Coquihalla,Stockwell Day,Stockwell Day,Conservative Party of Canada,28765,
British Columbia,Okanagan--Coquihalla,Okanagan--Coquihalla,Valerie Hallford,Valerie Hallford,Liberal Party of Canada,5883,
British Columbia,Okanagan--Coquihalla,Okanagan--Coquihalla,Ralph Poynting,Ralph Poynting,New Democratic Party,8236,
British Columbia,Port Moody--Westwood--Port Coquitlam,Port Moody--Westwood--Port Coquitlam,Rod Brindamour,Rod Brindamour,Green Party of Canada,3568,
