British Columbia
40
British Columbia,Abbotsford-Mission,Abbotsford-Mission,Wendy Bales,Wendy Bales,Independent,415
British Columbia,,,Roman Bojczuk,Roman Bojczuk,Independent,204
British Columbia,,,Aird Flavelle,Aird Flavelle,Green Party of British Columbia,1865
British Columbia,,,Simon Gibson,Simon Gibson,British Columbia Liberal Party,10417
British Columbia,,,Marcus Halliday,Marcus Halliday,British Columbia Excalibur Party,119
British Columbia,,,Preet Rai,Preet Rai,New Democratic Party of British Columbia,5591
British Columbia,,,Don Stahl,Don Stahl,British Columbia Conservative Party,1946
British Columbia,Abbotsford South,Abbotsford South,Steve Finlay,Steve Finlay,British Columbia Marijuana Party,417
British Columbia,,,Lakhvinder Jhaj,Lakhvinder Jhaj,New Democratic Party of British Columbia,4210
British Columbia,,,Darryl Plecas,Darryl Plecas,British Columbia Liberal Party,9563
British Columbia,,,Patricia Smith,Patricia Smith,British Columbia Excalibur Party,256
British Columbia,,,John van Dongen,John van Dongen,Independent,5586
British Columbia,Abbotsford West,Abbotsford West,Michael de Jong,Michael de Jong,British Columbia Liberal Party,9473
British Columbia,,,Sukhi Dhami,Sukhi Dhami,New Democratic Party of British Columbia,5430
British Columbia,,,Moe Gill,Moe Gill,Independent,1082
British Columbia,,,Kerry-Lynn Osbourne,Kerry-Lynn Osbourne,British Columbia Excalibur Party,49
British Columbia,,,Stephen Carl O’Shea,Stephen Carl O’Shea,Green Party of British Columbia,877
British Columbia,,,Paul Brian Redekopp,Paul Brian Redekopp,British Columbia Conservative Party,1791
British Columbia,Alberni-Pacific Rim,Alberni-Pacific Rim,Darren Frank DeLuca,Darren Frank DeLuca,British Columbia Liberal Party,6341
British Columbia,,,Scott Kenneth Fraser,Scott Kenneth Fraser,New Democratic Party of British Columbia,10569
British Columbia,,,Enid Mary Sangster-Kelly,Enid Mary Sangster-Kelly,British Columbia Conservative Party,1456
British Columbia,Boundary-Similkameen,Boundary-Similkameen,Sam Hancheroff,Sam Hancheroff,New Democratic Party of British Columbia,7113
British Columbia,,,John Kwasnica,John Kwasnica,Green Party of British Columbia,1602
British Columbia,,,Linda Margaret Larson,Linda Margaret Larson,British Columbia Liberal Party,8499
British Columbia,,,Doug Pederson,Doug Pederson,Independent,375
British Columbia,,,Mischa Popoff,Mischa Popoff,No Affiliation,655
British Columbia,Burnaby-Deer Lake,Burnaby-Deer Lake,Kathy Corrigan,Kathy Corrigan,New Democratic Party of British Columbia,8189
British Columbia,,,Shian Gu,Shian Gu,British Columbia Liberal Party,7286
British Columbia,,,Richard (Rick) McGowan,Richard (Rick) McGowan,Green Party of British Columbia,1417
British Columbia,Burnaby-Edmonds,Burnaby-Edmonds,Raj Chouhan,Raj Chouhan,New Democratic Party of British Columbia,9253
British Columbia,,,Nicholas Edward D’Amico,Nicholas Edward D’Amico,British Columbia Excalibur Party,215
British Columbia,,,Jeff Kuah,Jeff Kuah,British Columbia Liberal Party,6950
British Columbia,,,Wyatt Tessari,Wyatt Tessari,Green Party of British Columbia,1573
British Columbia,Burnaby-Lougheed,Burnaby-Lougheed,Darwin Augustus Ivan Burns,Darwin Augustus Ivan Burns,Green Party of British Columbia,1665
British Columbia,,,Christine N  Clarke,Christine N  Clarke,No Affiliation,1399
British Columbia,,,Ken Kramer,Ken Kramer,British Columbia Liberal Party,8209
British Columbia,,,Jane Shin,Jane Shin,New Democratic Party of British Columbia,8952
British Columbia,Burnaby North,Burnaby North,Richard T. Lee,Richard T. Lee,British Columbia Liberal Party,10543
British Columbia,,,Wayne Michael Marklund,Wayne Michael Marklund,No Affiliation,523
British Columbia,,,Carrie McLaren,Carrie McLaren,Green Party of British Columbia,1577
British Columbia,,,Janet Routledge,Janet Routledge,New Democratic Party of British Columbia,9875
British Columbia,Cariboo-Chilcotin,Cariboo-Chilcotin,Donna Barnett,Donna Barnett,British Columbia Liberal Party,7679
British Columbia,,,Dustin Victor Price,Dustin Victor Price,Green Party of British Columbia,747
British Columbia,,,Charlie Wyse,Charlie Wyse,New Democratic Party of British Columbia,4740
British Columbia,,,Gary Young,Gary Young,Independent,503
British Columbia,Cariboo North,Cariboo North,Duncan Barnett,Duncan Barnett,New Democratic Party of British Columbia,3036
British Columbia,,,Coralee Oakes,Coralee Oakes,British Columbia Liberal Party,5867
British Columbia,,,Bob Simpson,Bob Simpson,Independent,5264
