Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Patrick Rancourt,Patrick Rancourt,Green Party of Canada,928,
Quebec,Outremont,Outremont,Sébastien Dhavernas,Sébastien Dhavernas,Liberal Party of Canada,12005,
Quebec,Outremont,Outremont,Lulzim Laloshi,Lulzim Laloshi,Conservative Party of Canada,3820,
Quebec,Outremont,Outremont,Thomas Mulcair,Thomas Mulcair,New Democratic Party,14308,
Quebec,Outremont,Outremont,F. Monsieur Corde à Linge Pilon,F. Monsieur Corde à Linge Pilon,Green Party of Canada,1566,
Quebec,Outremont,Outremont,Marcela Valdivia,Marcela Valdivia,Bloc Québécois,4554,
Quebec,Papineau,Papineau,Mahmood Raza Baig,Mahmood Raza Baig,Independent,271,
Quebec,Papineau,Papineau,Vivian Barbot,Vivian Barbot,Bloc Québécois,16517,
Quebec,Papineau,Papineau,Ingrid Hein,Ingrid Hein,Green Party of Canada,1218,
Quebec,Papineau,Papineau,Mustaque Sarker,Mustaque Sarker,Conservative Party of Canada,3264,
Quebec,Papineau,Papineau,Justin Trudeau,Justin Trudeau,Liberal Party of Canada,17747,
Quebec,Papineau,Papineau,Costa Zafiropoulos,Costa Zafiropoulos,New Democratic Party,3744,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Pierre-Olivier Brunelle,Pierre-Olivier Brunelle,Conservative Party of Canada,11435,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Marsha Fine,Marsha Fine,Marxist-Leninist Party of Canada,110,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Reny Gagnon,Reny Gagnon,Bloc Québécois,4301,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Bernard Patry,Bernard Patry,Liberal Party of Canada,20883,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Shameem Siddiqui,Shameem Siddiqui,New Democratic Party,4741,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Ryan Young,Ryan Young,Green Party of Canada,3105,
Quebec,Pontiac,Pontiac,Céline Brault,Céline Brault,New Democratic Party,6655,
Quebec,Pontiac,Pontiac,Lawrence Cannon,Lawrence Cannon,Conservative Party of Canada,14013,
Quebec,Pontiac,Pontiac,Cindy Duncan McMillan,Cindy Duncan McMillan,Liberal Party of Canada,10396,
Quebec,Pontiac,Pontiac,Benoit Legros,Benoit Legros,Marxist-Leninist Party of Canada,120,
Quebec,Pontiac,Pontiac,André Sylvestre,André Sylvestre,Green Party of Canada,2218,
Quebec,Pontiac,Pontiac,Marius Tremblay,Marius Tremblay,Bloc Québécois,9556,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,André Arthur,André Arthur,Independent,15062,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Stéphane Asselin,Stéphane Asselin,Liberal Party of Canada,7320,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Richard Côté,Richard Côté,Bloc Québécois,14401,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Jean Paradis,Jean Paradis,Independent,1045,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,André Turgeon,André Turgeon,New Democratic Party,5707,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Nathan John Weatherdon,Nathan John Weatherdon,Green Party of Canada,1453,
Quebec,Québec,Québec,Yonnel Bonaventure,Yonnel Bonaventure,Green Party of Canada,1650,
Quebec,Québec,Québec,Christiane Gagnon,Christiane Gagnon,Bloc Québécois,21064,
Quebec,Québec,Québec,Damien Rousseau,Damien Rousseau,Liberal Party of Canada,8845,
Quebec,Québec,Québec,Catherine Roy-Goyette,Catherine Roy-Goyette,New Democratic Party,6123,
Quebec,Québec,Québec,Myriam Taschereau,Myriam Taschereau,Conservative Party of Canada,12936,
Quebec,Repentigny,Repentigny,Réjean Bellemare,Réjean Bellemare,New Democratic Party,8853,
Quebec,Repentigny,Repentigny,Nicolas Dufour,Nicolas Dufour,Bloc Québécois,31005,
Quebec,Repentigny,Repentigny,Paul W. Fournier,Paul W. Fournier,Green Party of Canada,1666,
Quebec,Repentigny,Repentigny,Bruno Royer,Bruno Royer,Conservative Party of Canada,8168,
Quebec,Repentigny,Repentigny,Robert Semegen,Robert Semegen,Liberal Party of Canada,8746,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Réjean Bériault,Réjean Bériault,Conservative Party of Canada,8920,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Ghislaine Cournoyer,Ghislaine Cournoyer,Liberal Party of Canada,7998,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Rebecca Laplante,Rebecca Laplante,Green Party of Canada,1338,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Louis Plamondon,Louis Plamondon,Bloc Québécois,26814,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Nourredine Seddiki,Nourredine Seddiki,New Democratic Party,4000,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,André Bellavance,André Bellavance,Bloc Québécois,23913,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,François Fillion,François Fillion,Green Party of Canada,1357,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Gwyneth Helen Grant,Gwyneth Helen Grant,Liberal Party of Canada,6604,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Jean Landry,Jean Landry,Independent,526,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Éric Lefebvre,Éric Lefebvre,Conservative Party of Canada,15085,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Stéphane Ricard,Stéphane Ricard,New Democratic Party,4509,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Pierre Béland,Pierre Béland,Liberal Party of Canada,7937,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Guy Caron,Guy Caron,New Democratic Party,4085,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Claude Guimond,Claude Guimond,Bloc Québécois,17652,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,James D. Morrison,James D. Morrison,Green Party of Canada,645,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Gaston Noël,Gaston Noël,Conservative Party of Canada,7216,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Louise Thibault,Louise Thibault,Independent,1966,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Normand Beaudet,Normand Beaudet,New Democratic Party,6741,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Marie Martine Bédard,Marie Martine Bédard,Green Party of Canada,2134,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Claude Carignan,Claude Carignan,Conservative Party of Canada,9911,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Luc Desnoyers,Luc Desnoyers,Bloc Québécois,23216,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Denis Joannette,Denis Joannette,Liberal Party of Canada,8823,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Jean Bouchard,Jean Bouchard,Liberal Party of Canada,6835,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Aubert Côté,Aubert Côté,Christian Heritage Party of Canada,147,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Paul Crête,Paul Crête,Bloc Québécois,20494,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Claude Gaumond,Claude Gaumond,Green Party of Canada,978,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Gaston Hervieux,Gaston Hervieux,New Democratic Party,2428,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Denis Laflamme,Denis Laflamme,Conservative Party of Canada,13640,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Simon Bernier,Simon Bernier,New Democratic Party,7187,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Gilles Duguay,Gilles Duguay,Conservative Party of Canada,7149,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Monique Guay,Monique Guay,Bloc Québécois,26618,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Jocelyne Leduc,Jocelyne Leduc,Independent,273,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Joao Neves,Joao Neves,Liberal Party of Canada,6735,
Quebec,Rivière-du-Nord,Rivière-du-Nord,René Piché,René Piché,Green Party of Canada,1656,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Catherine Forbes,Catherine Forbes,New Democratic Party,1746,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Bernard Garneau,Bernard Garneau,Liberal Party of Canada,3721,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Denis Lebel,Denis Lebel,Conservative Party of Canada,16054,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Claude Pilote,Claude Pilote,Bloc Québécois,14549,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Jocelyn Tremblay,Jocelyn Tremblay,Green Party of Canada,737,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Jean-Patrick Berthiaume,Jean-Patrick Berthiaume,neorhino.ca,441,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Bernard Bigras,Bernard Bigras,Bloc Québécois,27265,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Alexandre Boulerice,Alexandre Boulerice,New Democratic Party,8519,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Sylvie Boulianne,Sylvie Boulianne,Conservative Party of Canada,3883,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Stéphane Chénier,Stéphane Chénier,Marxist-Leninist Party of Canada,169,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Michel Dugré,Michel Dugré,No Affiliation,83,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Vincent Larochelle,Vincent Larochelle,Green Party of Canada,2383,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Marjorie Théodore,Marjorie Théodore,Liberal Party of Canada,9760,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Simon Bernier,Simon Bernier,Green Party of Canada,2032,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Nicole Charbonneau Barron,Nicole Charbonneau Barron,Conservative Party of Canada,8115,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Pierre Diamond,Pierre Diamond,Liberal Party of Canada,11755,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Carole Lavallée,Carole Lavallée,Bloc Québécois,23667,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Vesna Vesic,Vesna Vesic,New Democratic Party,7154,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Brigitte Sansoucy,Brigitte Sansoucy,New Democratic Party,6721,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Jacques Tétreault,Jacques Tétreault,Green Party of Canada,1771,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Ève-Mary Thaï Thi Lac,Ève-Mary Thaï Thi Lac,Bloc Québécois,22719,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Denise Tremblay,Denise Tremblay,Liberal Party of Canada,6638,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,René Vincelette,René Vincelette,Conservative Party of Canada,10203,
Quebec,Saint-Jean,Saint-Jean,Claude Bachand,Claude Bachand,Bloc Québécois,26506,
Quebec,Saint-Jean,Saint-Jean,Guy Berger,Guy Berger,Independent,520,
Quebec,Saint-Jean,Saint-Jean,Marie-Josée Mercier,Marie-Josée Mercier,Conservative Party of Canada,9281,
Quebec,Saint-Jean,Saint-Jean,Philippe Refghi,Philippe Refghi,New Democratic Party,5529,
Quebec,Saint-Jean,Saint-Jean,Claire Ste-Marie,Claire Ste-Marie,Liberal Party of Canada,9430,
Quebec,Saint-Jean,Saint-Jean,Pierre Tremblay,Pierre Tremblay,Green Party of Canada,2160,
Quebec,Saint-Lambert,Saint-Lambert,Josée Beaudin,Josée Beaudin,Bloc Québécois,16347,
Quebec,Saint-Lambert,Saint-Lambert,Patrick Clune,Patrick Clune,Conservative Party of Canada,6868,
Quebec,Saint-Lambert,Saint-Lambert,Diane Joubert,Diane Joubert,Green Party of Canada,1576,
Quebec,Saint-Lambert,Saint-Lambert,Richard Marois,Richard Marois,New Democratic Party,6280,
Quebec,Saint-Lambert,Saint-Lambert,Roxane Stanners,Roxane Stanners,Liberal Party of Canada,12385,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Fernand Deschamps,Fernand Deschamps,Marxist-Leninist Party of Canada,296,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Stéphane Dion,Stéphane Dion,Liberal Party of Canada,25095,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Dennis Galiatsatos,Dennis Galiatsatos,Conservative Party of Canada,6999,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Jacques Lachaîne,Jacques Lachaîne,Bloc Québécois,4611,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Jerome Rodrigues,Jerome Rodrigues,New Democratic Party,3659,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Laura Colella,Laura Colella,New Democratic Party,4030,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Garnet Colly,Garnet Colly,Marxist-Leninist Party of Canada,165,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Lucie Le Tourneau,Lucie Le Tourneau,Conservative Party of Canada,5674,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Frank Monteleone,Frank Monteleone,Green Party of Canada,1063,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Massimo Pacetti,Massimo Pacetti,Liberal Party of Canada,21652,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Farid Salem,Farid Salem,Bloc Québécois,5145,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Joseph Young,Joseph Young,No Affiliation,122,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Anne Marie Aubert,Anne Marie Aubert,New Democratic Party,3682,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Jean-Yves Laforest,Jean-Yves Laforest,Bloc Québécois,20320,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Stéphane Roof,Stéphane Roof,Conservative Party of Canada,11083,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Ronald St-Onge Lynch,Ronald St-Onge Lynch,Liberal Party of Canada,9766,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Martial Toupin,Martial Toupin,Green Party of Canada,1557,
Quebec,Shefford,Shefford,Michel.M. Champagne,Michel.M. Champagne,Green Party of Canada,1848,
Quebec,Shefford,Shefford,Bernard Demers,Bernard Demers,Liberal Party of Canada,10810,
Quebec,Shefford,Shefford,Simon Gnocchini Messier,Simon Gnocchini Messier,New Democratic Party,6323,
Quebec,Shefford,Shefford,Jean Lambert,Jean Lambert,Conservative Party of Canada,9927,
Quebec,Shefford,Shefford,Robert Vincent,Robert Vincent,Bloc Québécois,21980,
Quebec,Sherbrooke,Sherbrooke,André Bachand,André Bachand,Conservative Party of Canada,8338,
Quebec,Sherbrooke,Sherbrooke,Serge Cardin,Serge Cardin,Bloc Québécois,25458,
Quebec,Sherbrooke,Sherbrooke,Sébastien Côrriveau,Sébastien Côrriveau,neorhino.ca,486,
Quebec,Sherbrooke,Sherbrooke,Nathalie Goguen,Nathalie Goguen,Liberal Party of Canada,10031,
Quebec,Sherbrooke,Sherbrooke,Yves Mondoux,Yves Mondoux,New Democratic Party,6674,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Diane Bourgeois,Diane Bourgeois,Bloc Québécois,28302,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,M. Zamboni Cadieux,M. Zamboni Cadieux,Independent,283,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Martin Drapeau,Martin Drapeau,Green Party of Canada,1714,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Michel Le Clair,Michel Le Clair,New Democratic Party,7257,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Daniel Lebel,Daniel Lebel,Conservative Party of Canada,7572,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Eva Nassif,Eva Nassif,Liberal Party of Canada,8937,
Quebec,Trois-Rivières,Trois-Rivières,Ariane Blais,Ariane Blais,Green Party of Canada,1540,
Quebec,Trois-Rivières,Trois-Rivières,Geneviève Boivin,Geneviève Boivin,New Democratic Party,4544,
Quebec,Trois-Rivières,Trois-Rivières,Paule Brunelle,Paule Brunelle,Bloc Québécois,22404,
Quebec,Trois-Rivières,Trois-Rivières,Claude Durand,Claude Durand,Conservative Party of Canada,11998,
Quebec,Trois-Rivières,Trois-Rivières,Marcos G. Simard,Marcos G. Simard,Liberal Party of Canada,9008,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Meili Faille,Meili Faille,Bloc Québécois,27044,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Michael M. Fortier,Michael M. Fortier,Conservative Party of Canada,15616,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Maxime Héroux-Legault,Maxime Héroux-Legault,New Democratic Party,6307,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Brigitte Legault,Brigitte Legault,Liberal Party of Canada,13954,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Jean-Yves Massenet,Jean-Yves Massenet,Green Party of Canada,2627,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Benoît Dussault,Benoît Dussault,Conservative Party of Canada,7733,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Raphaël Fortin,Raphaël Fortin,New Democratic Party,8348,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,François Fournier,François Fournier,Liberal Party of Canada,8873,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Luc Malo,Luc Malo,Bloc Québécois,27343,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Annie Morel,Annie Morel,Green Party of Canada,1827,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Guy Dufort,Guy Dufort,Conservative Party of Canada,6147,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Marc Garneau,Marc Garneau,Liberal Party of Canada,18069,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Claude William Genest,Claude William Genest,Green Party of Canada,2765,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Anne Lagacé Dowson,Anne Lagacé Dowson,New Democratic Party,8889,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Charles Larivée,Charles Larivée,Bloc Québécois,2778,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,David Sommer Rovins,David Sommer Rovins,Independent,44,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Bill Sloan,Bill Sloan,Communist Party of Canada,34,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Linda Sullivan,Linda Sullivan,Marxist-Leninist Party of Canada,49,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Judith Vienneau,Judith Vienneau,neorhino.ca,62,
Ontario,Ajax--Pickering,Ajax--Pickering,Mike Harilaid,Mike Harilaid,Green Party of Canada,3605,
Ontario,Ajax--Pickering,Ajax--Pickering,Mark Holland,Mark Holland,Liberal Party of Canada,21607,
Ontario,Ajax--Pickering,Ajax--Pickering,Rick Johnson,Rick Johnson,Conservative Party of Canada,18471,
Ontario,Ajax--Pickering,Ajax--Pickering,Kevin Norng,Kevin Norng,Christian Heritage Party of Canada,426,
Ontario,Ajax--Pickering,Ajax--Pickering,Bala Thavarajasoorier,Bala Thavarajasoorier,New Democratic Party,4472,
Ontario,Ajax--Pickering,Ajax--Pickering,Stephanie Wilson,Stephanie Wilson,Libertarian Party of Canada,177,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Carol Hughes,Carol Hughes,New Democratic Party,15246,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Dianne Musgrove,Dianne Musgrove,Conservative Party of Canada,5899,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Lorraine Rekmans,Lorraine Rekmans,Green Party of Canada,1465,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Brent St. Denis,Brent St. Denis,Liberal Party of Canada,10902,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Jamilé Ghaddar,Jamilé Ghaddar,Marxist-Leninist Party of Canada,158,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Gordon Guyatt,Gordon Guyatt,New Democratic Party,9632,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Arlene MacFarlane-VanderBeek,Arlene MacFarlane-VanderBeek,Liberal Party of Canada,15422,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Peter Ormond,Peter Ormond,Green Party of Canada,5209,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,David Sweet,David Sweet,Conservative Party of Canada,26297,
Ontario,Barrie,Barrie,Patrick Brown,Patrick Brown,Conservative Party of Canada,27927,
Ontario,Barrie,Barrie,Myrna Clark,Myrna Clark,New Democratic Party,6403,
Ontario,Barrie,Barrie,Paolo Fabrizio,Paolo Fabrizio,Libertarian Party of Canada,260,
Ontario,Barrie,Barrie,Erich Jacoby-Hawkins,Erich Jacoby-Hawkins,Green Party of Canada,5921,
Ontario,Barrie,Barrie,Rick Jones,Rick Jones,Liberal Party of Canada,12732,
Ontario,Barrie,Barrie,Christine Anne Nugent,Christine Anne Nugent,Marxist-Leninist Party of Canada,84,
Ontario,Beaches--East York,Beaches--East York,Caroline Alleslev,Caroline Alleslev,Conservative Party of Canada,7920,
Ontario,Beaches--East York,Beaches--East York,Roger Carter,Roger Carter,Marxist-Leninist Party of Canada,153,
Ontario,Beaches--East York,Beaches--East York,Marilyn Churley,Marilyn Churley,New Democratic Party,14893,
Ontario,Beaches--East York,Beaches--East York,Zoran Markovski,Zoran Markovski,Green Party of Canada,4402,
Ontario,Beaches--East York,Beaches--East York,Maria Minna,Maria Minna,Liberal Party of Canada,18928,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Stella Ambler,Stella Ambler,Conservative Party of Canada,18350,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Frank Chilelli,Frank Chilelli,Marxist-Leninist Party of Canada,309,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Gurbax S. Malhi,Gurbax S. Malhi,Liberal Party of Canada,22214,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Mark Pajot,Mark Pajot,Green Party of Canada,2545,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Jash Puniya,Jash Puniya,New Democratic Party,5935,
Ontario,Brampton--Springdale,Brampton--Springdale,Ruby Dhalla,Ruby Dhalla,Liberal Party of Canada,18522,
Ontario,Brampton--Springdale,Brampton--Springdale,Dave Finlay,Dave Finlay,Green Party of Canada,3524,
Ontario,Brampton--Springdale,Brampton--Springdale,Parm Gill,Parm Gill,Conservative Party of Canada,17804,
Ontario,Brampton--Springdale,Brampton--Springdale,Dimitrios Kabitsis,Dimitrios Kabitsis,Communist Party of Canada,135,
Ontario,Brampton--Springdale,Brampton--Springdale,Mani Singh,Mani Singh,New Democratic Party,5320,
Ontario,Brampton West,Brampton-Ouest,Patti Chmelyk,Patti Chmelyk,Green Party of Canada,3330,
Ontario,Brampton West,Brampton-Ouest,Andrew Kania,Andrew Kania,Liberal Party of Canada,21639,
Ontario,Brampton West,Brampton-Ouest,Kyle Seeback,Kyle Seeback,Conservative Party of Canada,21516,
Ontario,Brampton West,Brampton-Ouest,Jagtar Shergill,Jagtar Shergill,New Democratic Party,7339,
Ontario,Brant,Brant,Nora Fueten,Nora Fueten,Green Party of Canada,3805,
Ontario,Brant,Brant,John G. Gots,John G. Gots,Christian Heritage Party of Canada,369,
Ontario,Brant,Brant,Phil McColeman,Phil McColeman,Conservative Party of Canada,22628,
Ontario,Brant,Brant,Lloyd St. Amand,Lloyd St. Amand,Liberal Party of Canada,17839,
Ontario,Brant,Brant,Brian Van Tilborg,Brian Van Tilborg,New Democratic Party,9297,
Ontario,Burlington,Burlington,David Laird,David Laird,New Democratic Party,6600,
Ontario,Burlington,Burlington,Marnie Mellish,Marnie Mellish,Green Party of Canada,4170,
Ontario,Burlington,Burlington,Paddy Torsney,Paddy Torsney,Liberal Party of Canada,19524,
Ontario,Burlington,Burlington,Mike Wallace,Mike Wallace,Conservative Party of Canada,28469,
Ontario,Cambridge,Cambridge,Scott Cosman,Scott Cosman,Green Party of Canada,4261,
Ontario,Cambridge,Cambridge,Gary Goodyear,Gary Goodyear,Conservative Party of Canada,24883,
Ontario,Cambridge,Cambridge,Max Lombardi,Max Lombardi,New Democratic Party,10018,
Ontario,Cambridge,Cambridge,Gord Zeilstra,Gord Zeilstra,Liberal Party of Canada,11970,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Paul Arbour,Paul Arbour,New Democratic Party,6583,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Jake Cole,Jake Cole,Green Party of Canada,6983,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Justin MacKinnon,Justin MacKinnon,Liberal Party of Canada,15254,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Gordon O'Connor,Gordon O'Connor,Conservative Party of Canada,39338,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Alina Abbott,Alina Abbott,Green Party of Canada,2712,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Ron Cadotte,Ron Cadotte,New Democratic Party,6850,
